title,description,quantity,starting_bid,image_urls
Vintage Oak Dining Table,Beautiful vintage oak dining table in excellent condition. Seats 6 comfortably. Minor wear consistent with age.,1,150.50,
Antique Brass Lamp Set,Set of two matching antique brass table lamps with original shades. Working condition.,2,75.00,
Persian Style Area Rug,Hand-woven Persian style area rug (8x10 ft). Rich colors and intricate patterns. Some minor fading.,1,300.00,
Mahogany Bookshelf,Solid mahogany bookshelf with five adjustable shelves. Classic design with carved details.,1,200.00,
Crystal Wine Glasses,Set of 12 crystal wine glasses. Excellent condition with no chips or cracks.,12,5.00,
Leather Armchair,Comfortable leather armchair in brown. Minor scuffs but structurally sound.,1,120.00,
Art Deco Mirror,Large art deco style wall mirror with beveled edges and original frame.,1,180.00,
Porcelain Tea Set,Complete vintage porcelain tea set with 6 cups and saucers. Gold trim details.,1,85.00,
Wooden Coffee Table,Mid-century modern wooden coffee table with lower shelf. Minor scratches.,1,95.00,
Brass Candlestick Holders,Pair of ornate brass candlestick holders. Approximately 12 inches tall.,2,40.00,
